query,index,word_count,tag,can't read,topic button
botany,279,1,,,1
figs,280,1,,,
Anatomy,281,1,,,
botany,282,1,,,1
Monstera,283,1,,,
colourful lion,285,2,,,
Skull,286,1,,,
anatomy,288,1,,,
Gay,289,1,,,
asthetic,290,1,,,
astronomy,291,1,,,
walles,292,1,,,
Anatomy ,293,1,,,
anatomy,294,1,,,
surgeon's lamp,295,2,,,
plants,296,1,,,
optics,297,1,,,1
philippon pierre,298,2,,,
papas,299,1,,,
optics,300,1,,,1
botany,302,1,,,1
Imagen vintage,303,2,,,
beach,304,1,,,
Zodiac,305,1,,,
greenwich hospital,306,2,,,
science,307,1,,,1
paintings,308,1,,,1
optics,309,1,,,1
quacks,310,1,,,1
Italy,311,1,,,
anatomy ,312,1,,,
anatomy,313,1,,,
astrology,314,1,,,
flores,315,1,,,
chickpeas ,316,1,,,
sun,317,1,,,1
brush,318,1,,,
cryptids,319,1,,,
italy,320,1,,,
botany,321,1,,,1
zodiac,322,1,,,
Planta,323,1,,,
bat,324,1,,,
dead,325,1,,,
botany,326,1,,,1
mind,327,1,,,
Butterflies,328,1,,,
data analysis,329,2,,,
Vintage,330,1,,,
art,331,1,,,
bioreactor,332,1,,,
paintings,333,1,,,1
botany,334,1,,,1
health,335,1,,,1
Aquarius,336,1,,,
Food,337,1,,,
"""Albert Londe""",338,2,1,,
botany,339,1,,,1
health,340,1,,,1
Edgy,341,1,,,
phylogeny,342,1,,,
butterflies,343,1,,,
robert fludd,344,2,,,
anatomy,345,1,,,
anime,346,1,,,
Hisoka,347,1,,,
MARX,348,1,,,
Esculturas ,349,1,,,
Anatomy,350,1,,,
paintings,351,1,,,1
botany,352,1,,,1
law,353,1,,,
vampires,354,1,,,
design,355,1,,,
Anatomy,356,1,,,
botany,357,1,,,1
anatomy,358,1,,,
malta,359,1,,,
stars,360,1,,,
butterfly,361,1,,,
sebastian,362,1,,,
Fantasy,363,1,,,
Pink,364,1,,,
quacks,365,1,,,1
Music,366,1,,,
Groovy,367,1,,,
Astronomy,368,1,,,
optics,369,1,,,1
nude men ,370,2,,,
victorian,371,1,,,
anatomy,372,1,,,
Nervous system,373,2,,,
Butterflyes,374,1,,,
"""Heart.""",376,1,1,,
anatomy,377,1,,,
botany,378,1,,,1
energy,379,1,,,
Frida kahlo,380,2,,,
Sex,381,1,,,
Moon,382,1,,,
botany,383,1,,,1
anatomy,384,1,,,
botany,385,1,,,1
dowell,386,1,,,
england,387,1,,,
"""Rowan McOnegal""",388,2,1,,
Caribbean slave,389,2,,,
botany,390,1,,,1
stars,391,1,,,
Anatomy,392,1,,,
anatomy,393,1,,,
dubai,394,1,,,
Maps,396,1,,,
botany,397,1,,,1
Scull,398,1,,,
monstera,399,1,,,
constellations,400,1,,,
botany,401,1,,,1
dogs,402,1,,,
Carros,403,1,,,
blueming,404,1,,,
cardiac physiology,405,2,,,
gwv62367,406,1,,,
rich,407,1,,,
flores,408,1,,,
perros,409,1,,,
paintings,410,1,,,1
botany,411,1,,,1
cherry blossom,412,2,,,
botany,413,1,,,1
Witch ,414,1,,,
cat,415,1,,,
Anatomy,416,1,,,
fashion,418,1,,,
anatomy,419,1,,,
Symphony,420,1,,,
zodiac,421,1,,,
CAPIVARA,422,1,,,
ROCK,423,1,,,
Alfred king,424,2,,,
anatomy,425,1,,,
mushroom ,426,1,,,
kopenavhen,427,1,,,
science,428,1,,,1
butterfly,429,1,,,
Star wars ,431,2,,,
butterflies,432,1,,,
Anatomy,433,1,,,
anatomy,434,1,,,
open,435,1,,,
Naked African,436,2,,,
anatomy,437,1,,,
markham,438,1,,,
butterfly,439,1,,,
van gogh,440,2,,,
captain kidd,441,2,,,
astronomia,442,1,,,
rock,443,1,,,
prisoners,444,1,,,
butterfloy,445,1,,,
Anatomy,446,1,,,
